abcgo2003-00188	「当て布」という意味がある、既に出来上がっているプログラムに修正を加えることを何というでしょう？	パッチ	パッチ
abcgo2003-00220	コンピュータの中央処理装置と主記憶装置の中間に用意され、頻繁に用いるデータを一時的に蓄える高速メモリは何でしょう？	キャッシュ･メモリ (cache memory)	キャッシュメモリ
abcgo2003-00269	「オペレーティング・システム」という言葉を略した、コンピュータの基本ソフトをあらわす用語は何でしょう？	OS	ＯＳ
abcgo2003-00450	英語で、製品の製造業者を「メーカー」というのに対し、使用者を何というでしょう？	ユーザー	ユーザー
abcgo2003-00480	コンピュータネットワークを利用して、不特定多数のユーザーが読み書きできる電子掲示板システムをアルファベット3文字で何というでしょう？	BBS	ＢＢＳ
abcgo2003-00553	ラジオやテレビの連絡放送網のことを英語で何というでしょう？	ネットワーク	ネットワーク
abcgo2003-00664	パソコンの情報量の単位で、1バイトは何ビットでしょう？	8ビット	８
abcgo2003-00694	インターネット上でも盛んな、ある品物に競い合って値段を決め、落札することを英語で何というでしょう？	オークション	オークション
abcgo2003-01015	人気のパソコンで、「VAIO」はSONYのブランドですが、「LaVie」はどこのメーカーのブランドでしょう？	NEC	ＮＥＣ
abcgo2003-01247	パソコンのキーボードの上部についている「F1」「F2」と書かれているキーの名前は何でしょう？	ファンクションキー	ファンクションキー
abcgo2003-01342	パソコンなど通信速度を表す単位「bps」とは、何の略でしょう？	ビット パー セカンド(bits par second)	ビットパーセカンド
abcgo2003-01569	ネットワークシステムで他のコンピュータにサービスを提供するコンピュータを「サーバー」といいますが、サービスを受ける側のコンピュータのことを何というでしょう？	クライアント	クライアント
abcgo2004-00129	インターネット上の掲示板を表す言葉「BBS」とは、何という言葉の略称でしょう？	Bulletin Board System	ＢＵＬＬＥＴＩＮＢＯＡＲＤＳＹＳＴＥＭ
abcgo2004-00359	コンピューターなどの画面上の文字や画像を、巻物を読むように上下または左右に動かしながら表示することを何というでしょう？	スクロール	スクロール
abcgo2004-00408	「InternetExplorer」や「NetscapeNavigator」など、インターネットの情報を閲覧するためのソフトを総称して何というでしょう？	ブラウザ	ブラウザ
abcgo2004-00648	その形がある動物に似ていることから名がついた、パソコンで、画面上のポインタを動かしたり、アイコンをクリックするのに使われる周辺機器は何でしょう？	マウス	マウス
abcgo2004-00702	アルファベット2文字で「FW」と略される、コンピューターネットワークのセキュリティに欠かせない防御壁といえば何でしょう？	ファイアウォール	ファイアウォール
abcgo2004-00924	コンピューターのソフトやプログラムなどで起こるエラーや欠陥のことを、「虫」という意味の言葉から何という？	バグ	バグ
abcgo2004-00979	日本語では「入り口」という意味がある言葉で、検索エンジンやリンク集などを核として作られたサイトを総称して何というでしょう？	ポータルサイト	ポータルサイト
abcgo2004-01230	数字の前につけて商品の単価を表したり、電子メールでユーザー名とドメイン名を区切ったりするマークは何でしょう？	アットマーク(@)	アットマーク
abcgo2004-01265	コンピューター用語のROMとRAMのうち、読み出し専用なのはどっちでしょう？	ROM	ＲＯＭ
abcgo2004-01558	著作権者の許可を受けないで複製・販売される書籍・テープ・ソフトウェアなどのことを一般に「何版」というでしょう？	海賊版	カイゾクバン
abcgo2005-00052	インターネットの掲示板でよく見かける、半角文字や記号を組み合わせて作った絵や模様を何アートというでしょう？	アスキーアート【Ascii Art】(テキストアートは可。AAは不可)	アスキーアート
abcgo2005-00249	英語で「10の100乗」という意味の名がついた、インターネットの検索エンジンは何でしょう？	Google(グーグル)	グーグル
abcgo2005-00288	月間600万人が利用する、サイバーマップ・ジャパンが運営している国内最大のインターネット地図情報サービスは何でしょう？	マピオン	マピオン
abcgo2005-00499	ユードラ、シュリケン、ベッキー、アウトルックエクスプレスといえば、パソコンで何を使うためのソフトでしょう？	Eメール(電子メール)	Ｅメール
abcgo2005-00917	コンピューターのプログラムの部分をなし、ある機能をもった一連の命令群を指す、「決まりきった仕事」という意味を持つ言葉は何でしょう？	ルーティン(ルーチン)	ルーチン
abcgo2005-01019	ユーザーは「写真屋」という愛称で呼ぶこともある、Adobe社の画像処理ソフトは何でしょう？	Photoshop	ＰＨＯＴＯＳＨＯＰ
abcgo2005-01037	ソフトウェアをパソコンに組み込むことを意味する言葉で、綿矢りさの小説のタイトルにもなっているのは何でしょう？	インストール	インストール
